,Previous Night Sleep Duration (int),Broken Sleep? (bool),Breakfast? (bool),Morning Routine? (bool),Used ToDo List? (bool),Social? (0-2),External Stress (0-5),Day Physical Activity (5 scale),Nap? (bool),Read? (bool),Gym? (bool),Fast Food? (bool),Caffeine (0-2),Alcohol (0-2),Time Spent in Focused Environment (hours) 0.5 rounded,Screen Time (hours) 0.5 rounded,End of Day Productivity (0-10),DayOfWeek_Fri,DayOfWeek_Mon,DayOfWeek_Sat,DayOfWeek_Sun,DayOfWeek_Thu,DayOfWeek_Tue,DayOfWeek_Wed
91,8.0,False,False,True,False,1.0,3.0,3.0,False,True,True,False,0.0,0.0,2.0,7.5,4.0,False,False,True,False,False,False,False
92,8.0,True,True,True,False,2.0,2.0,1.5,False,False,False,False,0.0,0.5,3.0,6.5,3.5,False,False,False,True,False,False,False
93,7.5,False,False,False,False,2.0,2.0,3.0,False,True,False,False,1.0,0.0,8.0,5.0,6.5,False,True,False,False,False,False,False
94,5.5,False,True,False,False,1.5,2.5,1.5,False,True,False,False,0.5,0.0,9.0,7.5,7.0,False,False,False,False,False,True,False
95,7.5,False,True,True,False,1.5,2.5,2.0,False,True,True,False,0.0,1.5,4.0,6.5,7.0,False,False,False,False,False,False,True
96,6.5,True,True,True,False,1.0,2.0,1.5,False,True,False,False,1.0,0.0,8.5,9.5,7.5,False,False,False,False,True,False,False
97,6.5,False,True,True,False,1.0,3.0,2.0,False,True,False,False,0.0,0.0,0.0,7.0,4.0,True,False,False,False,False,False,False
98,6.5,False,True,False,False,2.0,1.5,2.5,False,False,False,False,0.5,0.5,0.0,3.5,3.0,False,False,True,False,False,False,False
99,8.0,True,True,False,False,2.0,1.5,4.0,False,False,False,False,0.0,0.5,0.0,2.5,3.0,False,False,False,True,False,False,False
100,5.5,True,True,False,False,2.0,1.5,2.5,True,False,False,False,0.5,0.0,2.0,3.0,5.0,False,True,False,False,False,False,False
101,8.0,True,True,False,False,1.0,1.5,2.0,False,True,False,False,0.0,0.0,0.0,7.0,2.0,False,False,False,False,False,True,False
102,7.5,False,False,True,False,2.0,1.5,1.5,False,False,False,False,0.0,0.0,4.0,7.0,5.5,False,False,False,False,False,False,True
103,5.5,False,False,True,False,1.0,2.5,3.0,False,False,True,False,1.0,0.0,8.0,7.5,6.5,False,False,False,False,True,False,False
104,7.0,True,False,True,False,2.0,2.5,1.5,False,False,False,False,0.0,1.0,4.0,6.0,6.0,True,False,False,False,False,False,False
105,8.0,True,True,True,False,2.0,2.0,1.5,False,False,False,True,0.0,0.0,1.0,4.0,3.0,False,False,True,False,False,False,False
106,10.0,True,True,False,False,1.5,2.0,3.0,True,False,True,False,0.0,0.0,0.0,5.0,2.0,False,False,False,True,False,False,False
113,6.5,True,True,False,False,2.0,2.5,3.5,False,False,True,False,0.0,0.0,1.0,5.5,3.0,False,False,False,True,False,False,False
